g,work,title,creator,name
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/c4995285-e53d-4c36-88d6-4a6e7b5a2209,City of the Beasts,https://metadatafram.es/data/person/be82d9a8-0704-4e2e-9305-bad485ad0962,Isabel Allende
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/563d4259-e1b5-49e1-bb97-9bf3beec7672,"Same Soul, Many Bodies",https://metadatafram.es/data/person/44a48783-2eb6-42a6-ae94-a04416d05f9d,Brian Weiss
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/55c4df47-901d-40b7-85f2-4fade1bdfb30,The Galley Slave,https://metadatafram.es/data/person/5b654bf6-aa22-4579-be37-11b68559a8ac,Drago Jančar
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/fb6878e2-5e3c-4a44-9793-c248256c6d78,American Psycho,https://metadatafram.es/data/person/c0f0eee1-4a06-47d3-99a0-5d58aad3298b,Bret Easton Ellis
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/db8c262d-f7de-456b-af5b-f102bc47c35f,Cutting Timber,https://metadatafram.es/data/person/922f1aa4-7462-44d1-b0a5-32a845f04262,Thomas Bernhard
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/7b2f398d-d96d-4d47-8221-6cde8ea27333,The Name of the Rose,https://metadatafram.es/data/person/c6e94cb0-3b7d-4663-a4e1-b4f461c7b6eb,Umberto Eco
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/e8d72331-1012-48bb-87b4-5d2b05c5c45b,Tibetan Book of Living and Dying,https://metadatafram.es/data/person/11029028-e6bd-47dc-9ec2-df517a6601fa,Sogyal Rinponche
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/9083e27e-8d83-41b0-ab04-db7296ea9460,El maestro y las magas,https://metadatafram.es/data/person/29090fb6-cd1d-4b4f-b32a-0f7c91d27433,El maestro y las magas
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/9083e27e-8d83-41b0-ab04-db7296ea9460,El maestro y las magas,https://metadatafram.es/data/person/29090fb6-cd1d-4b4f-b32a-0f7c91d27433,Alejandro Jodorowsky
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/5cd42c56-47fa-4195-966d-e183cdae540c,A Separate Reality,https://metadatafram.es/data/person/b6bd7c0b-c622-4ed7-b1c4-0fdd2148b5d5,Carlos Castaneda
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/e1b13bdc-78a6-4bf2-8268-f258934cb0e7,Paulo e Estevão,https://metadatafram.es/data/person/d90fb2c1-467d-4bca-bf7d-c865719ed739,Francisco Candido Xavier
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/81a59a3d-dee3-4999-afc6-533fcb2415d8,Nosso Lar,https://metadatafram.es/data/person/770e0466-7a07-4f87-b678-c769727a3cc3,Francisco Candido Xavier
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/b891e77f-9d44-47d2-b0e3-8e5c3b1cc564,The lost daughter,https://metadatafram.es/data/person/dd6f8db5-650b-4380-931e-a6267eaffbf6,Elena Ferrante
https://metadatafram.es/data/graph/bookshelf,https://metadatafram.es/data/work/0c44f663-f5bf-4741-ab1f-ccc062a45053,Tudo é rio,https://metadatafram.es/data/person/017d05e3-00db-4bea-b0cf-627e8a30812f,Carla Madeira
